place,title,period,price,url
COEX,조형아트서울 2020,"2020-06-17 ~ 2020-06-21|6/17(수) 17:00~20:00, 6/18(목)~20(토) 11:00~19:30, 6/21(일) 11:00~17:00","일반 10,000원 / 학생 8,000원 / 장애인 및 국가유공자 무료관람",www.plasticartseoul.com/
COEX,수입상품전시회,2020-06-25 ~ 2020-06-27|10:00 ~ 17:00,"5,000원",www.igf.co.kr
COEX,연극 작업의 정석,2020-01-01 ~ 2020-06-30,,
COEX,제 10회 스마트테크 코리아,2020-07-01 ~ 2020-07-03|10:00 ~ 17:00,사전등록자 무료,www.smarttechkorea.com
COEX,2020 국제안전보건전시회,2020-07-06 ~ 2020-07-09|10:00 ~ 17:00 (첫날6일 11:00부터 / 마지막날9일 16:00까지),사전등록시 무료,www.safetyshow.co.kr
COEX,제45회 서울국제유아교육전&키즈페어,2020-07-09 ~ 2020-07-12|10:00 ~ 18:00,"10,000원",www.educare.co.kr
COEX,2020 호텔쇼,2020-07-14 ~ 2020-07-16|10:00 ~ 17:00,"5,000원",www.hotelshow.co.kr
COEX,캐릭터라이선싱페어 2020,"2020-07-15 ~ 2020-07-19|10:00 ~ 18:00 (입장마감 17:30) / 단, 07.19(일) 17:00까지 운영(입장마감 16:30)",미정,characterfair.kr
COEX,제 54회 추계 웨덱스코리아 웨딩박람회,2020-07-18 ~ 2020-07-19|11:00 ~ 20:00,,www.weddex.com
COEX,2020 보드게임콘,2020-07-18 ~ 2020-07-19|10:00 ~ 18:00,,www.boardgamecon.com
COEX,제10회 스마트 디바이스 쇼 2020,2020-07-23 ~ 2020-07-25|10:00 ~ 18:00,"비즈니스데이(7.23목/1일): 20,000원 / 퍼블릭데이(7.24금~25토/2일): 10,000원",kitas.kr
COEX,2020 서울 사케페스티벌,2020-07-25 ~ 2020-07-26|11:00 ~ 19:00,"25,000원",www.sakefestival.co.kr
